D;Decreto nº 4.915, de 12 de dezembro de 2003: Dispõe sobre o Sistema de Gestão de Documentos de Arquivos (SIGA), da administração pública federal e dá outras providências.;http://www.planalto.gov.br/ccivil_03/decreto/2003/D4915.htm;Erro
T;Decreto nº 44.862, de 21 de novembro de 1958. Aprova o regimento do Arquivo Nacional;https://www2.camara.leg.br/legin/fed/decret/1950-1959/decreto-44862-21-novembro-1958-383895-publicacaooriginal-1-pe.html;OK
T;Decreto nº 5.301, de 9 de dezembro de 2004. Regulamenta o disposto na Medida Provisória no 228, de 9 de dezembro de 2004, que dispõe sobre a ressalva prevista na parte final do disposto no inciso XXXIII do artigo 5o da Constituição, e dá outras providências.;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2004/Decreto/D5301.htm;Erro
T;Decreto nº 5.584, de 18 de novembro de 2005. Dispõe sobre o recolhimento ao Arquivo Nacional dos documentos arquivísticos públicos produzidos e recebidos pelos extintos Conselho de Segurança Nacional - CSN, Comissão Geral de Investigações – CGI e Serviço Nacional de Informações – SNI, que estejam sob a custódia da Agência Brasileira de Inteligência – ABIN.;http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/D5584.htm;Erro
D;Decreto nº 60.417, de 11 de março de 1967. Aprova o Regulamento para a Salvaguarda de Assuntos Sigilosos.;http://www.planalto.gov.br/ccivil_03/decreto/1950-1969/D60417.htm;Erro
D;Decreto nº 64.398, de 24 de abril de 1969. Regulamenta a Lei n.° 5433. de 8 de maio de 1968, que regula a microfilmagem de documentos oficiais, e dá outras providências.;http://www.planalto.gov.br/ccivil_03/decreto/Antigos/D64398.htm;Erro
T;Decreto nº 69.534, de 11 de novembro de 1971. Altera dispositivos do Regulamento para a Salvaguarda de Assuntos Sigilosos.;http://www.planalto.gov.br/ccivil_03/decreto/1970-1979/D69534.htm;Erro
T;Decreto nº 75.657, de 24 de abril de 1975. Dispões sobre o Sistema de Serviços Gerais dos órgãos civis da Administração Federal direta e das Autarquias Federais e dá outras providências;http://www.planalto.gov.br/ccivil_03/decreto/1970-1979/D75657.htm;Erro
T;Decreto nº 79.099, de 6 de janeiro de 1977. Dispõe sobre o Sistema de Serviços Gerais dos órgãos civis da Administração Federal direta e das Autarquias Federais e dá outras providências.;http://www.planalto.gov.br/ccivil_03/decreto/1970-1979/D79099.htm;Erro
T;Decreto nº 79.329, de 2 de março de 1977. Transfere à Federação das Escolas Federais Isoladas do Estado do Rio de Janeiro/FEFIERJ o curso Permanente de Arquivo, do Arquivo Nacional, do Ministério da Justiça, com a denominação de Curso de Arquivologia;https://www2.camara.leg.br/legin/fed/decret/1970-1979/decreto-79329-2-marco-1977-428242-publicacaooriginal-1-pe.html;OK
T;Decreto nº 9.197, de 9 de dezembro de 1911. Aprova o regulamento do Arquivo Nacional;https://www2.camara.leg.br/legin/fed/decret/1910-1919/decreto-9197-9-dezembro-1911-516281-publicacaooriginal-1-pe.html;OK
D;Decreto nº 90.740, de 20 de dezembro de 1984. Dispõe sobre o Grupo Arquivo do Serviço Civil da União;http://www.planalto.gov.br/ccivil_03/decreto/1980-1989/D90740.htm;Erro
T;Decreto nº 99.347, de 26 de junho de 1990. Modifica o art. 6o do Regulamento para Salvaguarda de Assuntos Sigilosos, aprovado pelo Decreto no 79.099, de 6 de janeiro de 1977.;http://www.planalto.gov.br/ccivil_03/decreto/1990-1994/D99347.htm;Erro
D;Decreto-Lei nº 25 de 30 de novembro de 1937: Organiza a proteção do patrimônio histórico e artístico nacional;http://portal.iphan.gov.br/uploads/legislacao/Decreto_no_25_de_30_de_novembro_de_1937.pdf;OK
D;Lei nº 11.111, de 5 de maio de 2005. Regulamenta a parte final do disposto no inciso XXXIII do caput do art. 5º da Constituição Federal e dá outras providências;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2005/Lei/L11111.htm;Erro
D;Lei nº 12.527, de 18 de novembro de 2011. Regula o acesso a informações previsto no inciso XXXIII do art. 5o, no inciso II do § 3o do art. 37 e no § 2o do art. 216 da Constituição Federal; altera a Lei no 8.112, de 11 de dezembro de 1990; revoga a Lei no 11.111, de 5 de maio de 2005, e dispositivos da Lei no 8.159, de 8 de janeiro de 1991; e dá outras providências.;http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm;Erro
D;Lei nº 5433. Regula a microfilmagem de documentos oficiais e dá outras providências;http://www.planalto.gov.br/ccivil_03/LEIS/L5433.htm;Erro
D;Lei nº 7.627, de 10 de novembro de 1987. Dispõe sobre eliminação de autos na justiça do trabalho.;http://www.planalto.gov.br/ccivil_03/leis/1980-1988/L7627.htm;Erro
D;Lei nº 8.159, de 08 de janeiro de 1991. Dispõe sobre a política nacional de arquivos públicos e privados e dá outras providências;http://www.planalto.gov.br/ccivil_03/LEIS/L8159.htm;Erro
D;Lei nº 8.394, de 30 de dezembro de 1991. Dispõe sobre a preservação, organização e proteção dos acervos documentais privados dos presidentes da República;http://www.planalto.gov.br/ccivil_03/LEIS/L8394.htm;Erro
T;Lei nº 9.507 de 12 de novembro de 1997. Regula o direito de acesso a informações e disciplina o ritos processual de habeas data;http://www.planalto.gov.br/ccivil_03/leis/L9507.htm#targetText=LEI%20N%C2%BA%209.507%2C%20DE%2012%20DE%20NOVEMBRO%20DE%201997.&targetText=Regula%20o%20direito%20de%20acesso,rito%20processual%20do%20habeas%20data.;Erro
D;Lei nº 9.605, de 12 de fevereiro de 1998. Dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências;http://www.planalto.gov.br/ccivil_03/Leis/l9605.htm#targetText=LEI%20N%C2%BA%209.605%2C%20DE%2012%20DE%20FEVEREIRO%20DE%201998.&targetText=Disp%C3%B5e%20sobre%20as%20san%C3%A7%C3%B5es%20penais,ambiente%2C%20e%20d%C3%A1%20outras%20provid%C3%AAncias.;Erro
D;Portaria de 12 de julho de 1991. Aprova o regimento interno do Arquivo Nacional;http://www.arquivonacional.gov.br/images/conteudo/servicos_ao_governo/Untitled_07172018_120713.pdf;OK
T;Projeto de Lei nº 5.228, de 15 de maio de 2009;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=434566 / https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra;jsessionid=E127D78D192BFC276169307442225186.proposicoesWebExterno2?codteor=656530&filename=PL+5228/2009;OK
D;Resolução nº 40, de abril de 2006. Aprova a versão 2.0 dos critérios e procedimentos para credenciamento das entidades integrantes da ICP-Brasil.;http://www.iti.gov.br/images/repositorio/legislacao/resolucoes/revogadas/Resolucao40.pdf;OK
D;Legislação federal. Conselho Nacional de Arquivos;http://conarq.arquivonacional.gov.br/resolucoes-do-conarq/252-resolucao-n-10,-de-6-de-dezembro-de-1999.html;Erro
D;Política Brasileira de Acesso a Informações Públicas: garantia democrática do direito à informação, transparências e participação cidadã;http://pfdc.pgr.mpf.mp.br/atuacao-e-conteudos-de-apoio/publicacoes/acesso-a-informacao/politica-brasileira-de-acesso-a-informacoes-publicas-garantia-democratica-do-direito-a-informacao-transparencia-e-participacao-cidada-2013-unesco-e-cgu;Erro
D;e-ARQ - Modelo de requisitos para sistemas informatizados de gestão arquivística de documentos - Versão Preliminar para Avaliaçãohttp://www.uel.br/cch/cdph/arqtxt/downloads_e_ARQ.pdf;http://www.uel.br/cch/cdph/arqtxt/downloads_e_ARQ.pdf;OK
D;NOBRADE 1: norma brasileira de descrição arquivística;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/nobrade.pdf;Erro
D;Loi sur l’accès aux documents des organismes publics et sur la protection des renseignements personnels;http://legisquebec.gouv.qc.ca/fr/showdoc/cs/A-2.1;OK
D;Loi sur les archives;http://legisquebec.gouv.qc.ca/fr/ShowDoc/cs/A-21.1;OK
D;Guide de classification idéologique;https://www.worldcat.org/search?q=au%3APublic+Archives+Canada.&qt=hot_author;OK
T;Glossary of Archival Terminology;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.397.3094&rep=rep1&type=pdf;OK
D;Estudio de identificación y Valoración de Series Documentales;http://www.culturaydeporte.gob.es/dam/jcr:149562c0-8154-45ac-90aa-839ab4b4efb9/4-2017.pdf / http://www.juntadeandalucia.es/cultura/archivos_html/sites/default/contenidos/archivos/ahpsevilla/documentos/Mateo_Paez.pdf / http://www.juntadeandalucia.es/cultura/archivos_html/sites/default/contenidos/archivos/ahpgranada/documentos/VIIIJornadasMateo_Paez.pdf;OK
D;Publicações Digitais;http://conarq.gov.br/images/publicacoes_textos/diretrizes_rdc_arq.pdf;Erro
D;Manual de descripción multinivel: propuesta de adaptación de las normas internacionales de descripción archivística;http://www.aefp.org.es/NS/Documentos/NormasDescriptivas/MDM2_2006.pdf;OK
D;Directrizes para a prevenção e controlo de desastres em arquivo;https://www.bertrand.pt/livro/directrizes-para-a-prevencao-e-controlo-de-desastres-em-arquivo/94785 /  https://www.wook.pt/livro/directrizes-para-a-prevencao-e-controlo-de-desastres-em-arquivo/94785;Erro
D;Electronic records: a workbook for archivists;https://www.ica.org/sites/default/files/ICA_Study-16-Electronic-records_EN.pdf / https://www.ica.org/sites/default/files/ICA_Study-16-Electronic-records_PT.pdf;Erro
D;ISAD(G): norma geral internacional de descrição arquivística: adotada pela comissão ad hoc de normas de descrição;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/isad_g_2001.pdf;Erro
D;ISDIAH: norma internacional para descrição de instituições com acervo arquivístico;http://www.academia.org.br/sites/default/files/conteudo/norma_internacional_para_descricao_de_instituicoes_com_acervo_arquivistico.pdf;OK
D;ISAAR (CPF): norma internacional de registro de autoridade arquivística para entidades coletivas, pessoas e famílias;http://conarq.gov.br/images/publicacoes_textos/isaar_cpf.pdf;Erro
D;ISAAR (CPF): norma internacional de registro de autoridade arquivística para entidades coletivas, pessoas e famílias;http://conarq.gov.br/images/publicacoes_textos/isaar_cpf.pdf;Erro
T;ISAD (G): general international standard archival description : adopted by the Committee on Descriptive Standards, Stockholm, Sweden, 19-22 September 1999;https://www.ica.org/sites/default/files/CBPS_2000_Guidelines_ISAD(G)_Second-edition_EN.pdf;OK
T;ISAD (G): Norma geral internacional de descrição arquivística;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/isad_g_2001.pdf;Erro
D;ISAD(G):
Safon Ryngwladol Gyffredinol ar gyfer Disgrifio Archifo;https://www.ica.org/sites/default/files/CBPS_2000_Guidelines_ISAD%28G%29_Second-edition_CY.pdf;OK
D;ISAD(G):
Všeobecný mezinárodní standard
pro archivní popis;https://www.ica.org/sites/default/files/CBPS_2009_Guidelines_ISAD%28G%29_Second-edition_CZ.pdf;OK
D;ISAD(G) - Internationale Grundsätze für die archivische Verzeichnung;https://www.ica.org/sites/default/files/CBPS_2000_Guidelines_ISAD%28G%29_Second-edition_DE.pdf;OK
T;ISAD(G):
Algemene Internationale Norm voor
Archivistisch Beschrijven;https://www.ica.org/sites/default/files/CBPS_2000_Guidelines_ISAD%28G%29_Second-edition_DUTCH.pdf;OK
T;∆ιεθνές Πρότυπο Αρχειακής
Περιγραφής (Γενικό)  archistique;https://www.ica.org/sites/default/files/CBPS_ISAD%28G%29_Second-edition_EL.pdf;OK
D;ISDF: norma internacional para descrição de funções;http://conarq.gov.br/images/publicacoes_textos/ISDF.pdf;Erro
D;ISDF: Norma internacional para descrição de funções;https://www.ica.org/sites/default/files/CBPS_2007_Guidelines_ISDF_First-edition_PT.pdf;OK
D;ISDIAH: norma internacional para descrição de instituições com acervo arquivístico;http://www.academia.org.br/sites/default/files/conteudo/norma_internacional_para_descricao_de_instituicoes_com_acervo_arquivistico.pdf;OK
D;ISSAR (CPF): Norma internacional de registro de autoridade arquivística para entidades coletivas, pessoas e famílias;http://conarq.gov.br/images/publicacoes_textos/isaar_cpf.pdf;Erro
T;Documentos de arquivo electrónicos: manual para arquivistas;http://eprints.rclis.org/10302/1/CBAD205LeitCannas.pdf;OK
T;ISAD(G):
Norme générale et internationale
de description archivistique;https://www.ica.org/sites/default/files/CBPS_2000_Guidelines_ISAD%28G%29_Second-edition_FR.pdf;OK
D;MIĘDZYNARODOWY STANDARD OPISU ARCHIWALNEGO, CZĘŚĆ OGÓLNA;https://www.ica.org/sites/default/files/CBPS_2000_Guidelines_ISAD%28G%29_Second-edition_PL.pdf;OK
D;Mesa Redonda Nacional de Arquivos: Documento final;https://docplayer.com.br/259123-Mesa-redonda-nacional-de-arquivos-documento-final.html;OK
D;Glossário: versão 5.1;http://conarq.arquivonacional.gov.br/images/ctde/Glossario/2009glossario_v5.0_final.pdf;Erro
D;Descrição Arquivística: referências bibliográficas;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/Referencias_descricao.pdf;Erro
D;Glossário de documentos arquivísticos digitais;http://www.conarq.gov.br/images/ctde/Glossario/2014ctdeglossario_v6_public.pdf;Erro
D;Legislação brasileira de arquivos;https://d99edb8a-a-fa05922d-s-sites.googlegroups.com/a/arquivista.org/arquivista/arquivos/Arquivista.org-CONARQ-CTDE-Gloss%C3%A1rio_vers%C3%A3o_5.0.pdf?attachauth=ANoY7cqzcrIXjbiwkUgwEGzVtKlGC6Qs1LO4qLzybjgyBG_SwYOi_-7ncAI5uAEH1tdWN5SCPIumlHgh5lOVxoKEt-9OEWZky_nSxtWS3DM4zQn-0F-rj9_aiaWbTlPQuYgmYvR1kXKkmLGkU9OMFiiqUfocPhLuKsNcn21F3UlTI-66hWCd7LY78ixTEuKGBwBOM5ED_fXmfUj8uQGIZKyfP95lfo8VATfChDYsisrlHU3aDSY-Tw6NNeLK0rRSPtiUVQAavRixmtTneVmUp_aZS258X4_Di3eZR8VDRw3S843cxGtCyK8%3D&attredirects=0;OK
D;Modelo de requisitos para sistemas informatizados de gestão arquivística de documentos: e-ARQ Brasil;http://www.siga.arquivonacional.gov.br/images/publicacoes/e-arq.pdf;OK
D;Normas e recomendações técnicas sobre construção e reforma de arquivos;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/recomendaes_para_construo_de_arquivos.pdf;Erro
D;NOBRADE 1: Norma Brasileira de Descrição Arquivística;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/nobrade.pdf;Erro
D;NOBRADE: Norma Brasileira de Descrição Arquivística;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/nobrade.pdf;Erro
D;Legislação Arquivística;http://conarq.arquivonacional.gov.br/images/coletanea/dez_2017/CONARQ_legarquivos_dezembro_2017_PDF2.pdf;Erro
T;Acesso à informação;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/principios_acesso_arquivos.pdf;Erro
T;Anteprojeto de carta para a preservação do patrimônio arquivístico digital;http://www.conarq.gov.br/images/publicacoes_textos/Carta_preservacao.pdf;Erro
D;Câmara Técnica de Documentos Eletrônicos – CTDE – O que é;http://conarq.gov.br/index.php/documentos-eletronicos-ctde;OK
D;Carta para preservação do patrimônio arquivístico digital: preservar para garantir o acesso;http://www.unesp.br/ccad/mostra_arq_multi.php?arquivo=6962;Erro
D;Diretrizes Gerais para a Construção de Websites de Instituições Arquivísticas;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/Diretrizes_Construcao_websites.pdf;Erro
D;E-arq Brasil: modelo de requisitos para sistemas informatizados de gestão arquivística de documentos;http://www.siga.arquivonacional.gov.br/images/publicacoes/e-arq.pdf;OK
T;Glossário: Versão 4.0;http://conarq.arquivonacional.gov.br/images/ctde/Glossario/2008ctdeglossariov4.pdf;Erro
D;Modelo de requisitos para sistemas informatizados de gestão arquivística de documentos – earq;http://www.siga.arquivonacional.gov.br/images/publicacoes/e-arq.pdf;OK
D;Recomendações para a Produção e o Armazenamento de Documentos de Arquivo;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/recomendaes_para_a_produo.pdf;Erro
D;Recomendações para construção de arquivos;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/recomendaes_para_construo_de_arquivos.pdf;Erro
D;Recomendações para digitalização de documentos arquivísticos;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/Recomendacoes_digitalizacao_completa.pdf;Erro
D;O que é o CONARQ [internet];http://www.arquivonacional.gov.br/br/ultimas-noticias/471-conarq;Erro
D;Projeto Conservação Preventiva em Bibliotecas e Arquivos [internet];http://www.arqsp.org.br/arquivos/oficinas_colecao_como_fazer/cf5.pdf     ;OK
D;Grupo de pesquisa Gestão Eletrônica de Documentos (GED);https://observatoriodedocumentosdigitais.wordpress.com/2018/01/15/observatorio-de-documentos-digitais/;OK
D;Reference model for an Open Archival Information System (OAIS);https://public.ccsds.org/pubs/650x0m2.pdf;OK
T;Acesso à informação no Brasil;https://www.cgu.gov.br/assuntos/transparencia-publica/acesso-a-informacao;OK
D;Electronic documents and record management [internet];https://www.nrscotland.gov.uk/record-keeping/electronic-records-management/electronic-records-management-systems;Erro
D;ISAD (G): General Intemational Standard Archival Description;https://www.ica.org/sites/default/files/CBPS_2000_Guidelines_ISAD%28G%29_Second-edition_EN.pdf;OK
D;A strategic approach to managing business information: part 1 - the Dirks methodology - a users guide;https://pt.scribd.com/document/311638732/The-DIRKS-methodology-a-user-guide;OK
D;Manual Interno de Gestão Documental;http://www.seplag.df.gov.br/wp-conteudo/uploads/2017/10/Manual_de_gestao_de_docs.pdf;OK
D;Manual de comunicação administrativa do Distrito Federal;http://www.seplag.df.gov.br/wp-conteudo/uploads/2017/10/Manual-de-Comunica%C3%A7%C3%A3o-Oficial.pdf;OK
D;Decreto nº 7.520, de 20 de maio de 1983. Dispõe sobre a validade, perante os órgãos e entidades do Distrito Federal, de documentos manuscritos e dá outras providências;http://www.sinj.df.gov.br/SINJ/Norma/10011/Decreto_7520_20_05_1983.html;OK
D;Dictionnaire des archives: de l'archivage aux systèmes d'information;https://unesdoc.unesco.org/ark:/48223/pf0000091373;OK
D;Ley n. 92, del 13 de mayo de 1982. Creación del Sistema Nacional de Archivos.;https://contenidos.culturaypatrimonio.gob.ec/wp-content/uploads/Ley-del-Sistema-Nacional-de-Archivos.pdf;Erro
T;NARA Glossary;https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf;OK
D;Design criteria standard for electronic records management software applications;http://www.interpares.org/display_file.cfm?doc=dod_50152.pdf;OK
D;Model of requirements for the management of electronic records – MoReq specification;https://ec.europa.eu/idabc/servlets/Doc1faf.pdf?id=16847;Erro
D;SEPIADES: recommendations for cataloguing photographic collections;https://www.ica.org/sites/default/files/WG_2003_PAAG_SEPIADES-Cataloguing-photographic-collections_EN.pdf;OK
T;Código de Catalogação Anglo Americano: AACR2;http://loja.febab.org.br/aacr2.html;OK
D;Arquivo fotográfico: estudo preliminar;https://books.google.com.br/books/about/Arquivo_fotogr%C3%A1fico.html?id=IstQHAAACAAJ&redir_esc=y;OK
D;Cadernos técnicos de conservação fotográfica;http://portais.funarte.gov.br/preservacaofotografica/cadernos-tecnicos;OK
D;O Arquivo-Museu de Literatura Brasileira: um sonho drummodiano;https://www.jstor.org/stable/43803002?seq=1;Erro
D;Fundação Casa de Rui Barbosa [internet];http://www.casaruibarbosa.gov.br/;OK
D;Metodologia de Organização de Arquivos Pessoais: a experiência do CPDOC;https://books.google.com.br/books/about/Metodologia_de_organiza%C3%A7%C3%A3o_de_arquivos.html?id=HSS2GwAACAAJ&redir_esc=y;OK
D;Procedimentos técnicos adotados pelo CPDOC na organização de arquivos privados contemporâneos;https://books.google.com.br/books/about/Procedimentos_t%C3%A9cnicos_adotados_pelo_CP.html?id=kmj2MgEACAAJ&redir_esc=y;OK
D;Antropologia e arquivos [fascículo];http://bibliotecadigital.fgv.br/ojs/index.php/reh/issue/view/303;OK
D;Os Presidentes da República: guia de acervos privados;https://books.google.com.br/books/about/Os_Presidentes_da_Rep%C3%BAblica.html?id=hMULAAAAYAAJ&redir_esc=y;OK
D;Procedimentos técnicos em arquivos privados;https://books.google.com.br/books/about/CPDOC.html?id=ECzyjwEACAAJ&redir_esc=y;OK
D;Tabela de temporalidade de documentos da FGV;https://books.google.com.br/books/about/Tabela_de_temporalidade_de_documentos_da.html?id=wk_qjwEACAAJ&redir_esc=y;OK
T;AVAILABILITY OF RAMP Studies;https://cool.conservation-us.org/byorg/abbey/an/an23/an23-3/an23-305.html;OK
D;Bibliographie International Fondamentale d’Archivistique;https://www.persee.fr/doc/gazar_0016-5522_1980_num_109_1_2744_t1_0150_0000_2;OK
D;La gestion des archives informatiques;https://unesdoc.unesco.org/ark:/48223/pf0000090874_fre;OK
D;Mesa Redonda: acervos arquivísticos;https://ihgb.org.br/pesquisa/hemeroteca/periodicos/item/101825-revista-do-patrim%C3%B4nio-hist%C3%B3rico-e-art%C3%ADstico-nacional.html;OK
D;Notas e recomendações: atendimento ao público;https://www.aphrioclaro.sp.gov.br/;OK
D;Seminário Internacional sobre estratégia para el desarollo de los archivos en el tercer mundo;https://www.persee.fr/doc/gazar_0016-5522_1977_num_97_1_2562_t1_0121_0000_1;OK
T;Archival Acquisition;https://babel.hathitrust.org/cgi/pt?id=mdp.39015011587063&view=1up&seq=9;OK
D;Atas eletrônicas "Los archivos del nuevo milenio em la sociedad de la informacion;https://sede.educacion.gob.es/publiventa/detalle.action?cod=10290C;OK
D;Draft final report;https://www.sec.gov/about/offices/oca/acifr/acifr-dfr-071108.pdf;OK
T;A política nacional de arquivos: a ação do Conselho Nacional de Arquivos;http://www.brapci.inf.br/index.php/res/v/13084;OK
D;Gestão arquivística de documentos eletrônicos;https://pt.scribd.com/document/37174068/Gestao-Arquivistica-de-Documentos-Eletronicos-CONARQ-Por-Claudia-Rocha;OK
T;Arquivos Nacionais de Países de Língua Portuguesa [Internet];http://conarq.arquivonacional.gov.br/links-uteis/387-arquivos-nacionais-de-paises-de-lingua-portuguesa.html;Erro
D;Glossário da Câmara Técnica de Documentos Eletrônicos;http://conarq.arquivonacional.gov.br/images/ctde/Glossario/2016-CTDE-Glossario_V7_public.pdf;Erro
D;Nobrade: Norma brasileira de descrição de arquivos;http://conarq.arquivonacional.gov.br/images/publicacoes_textos/nobrade.pdf;Erro
D;Legislação Arquivística;http://conarq.arquivonacional.gov.br/images/coletanea/dez_2017/CONARQ_legarquivos_dezembro_2017_PDF2.pdf;Erro
T;Dictionary of archival terminology Dictionnaire de terminologie archivistique : english and french with equivalents in dutch, german, italian, russian and spanish;https://www.worldcat.org/title/dictionary-of-archival-terminology-english-and-french-with-equivalents-in-dutch-german-italian-russian-and-spanish-dictionnaire-de-terminologie-archivistique/oclc/123189179#borrow;OK
D;Glossário de Terminologia;http://www.arquivonacional.gov.br/images/pdf/Dicion_Term_Arquiv.pdf;OK
D;ISAAR (CPF): Norme Internationale sur les notices d’autorité archivistiques relatíves aux collectivités, aux personnes et aux familles;https://www.ica.org/sites/default/files/CBPS_Guidelines_ISAAR_Second-edition_FR.pdf;OK
